Län,År,Population
Norrbottens län,2006,251886
Stockholms län,2007,1949516
Uppsala län,2007,323270
Södermanlands län,2007,265190
Östergötlands län,2007,420809
Jönköpings län,2007,333610
Kronobergs län,2007,180787
Kalmar län,2007,233834
Gotlands län,2007,57122
Blekinge län,2007,151900
Skåne län,2007,1199357
Hallands län,2007,291393
Västra Götalands län,2007,1547298
Värmlands län,2007,273826
Örebro län,2007,276067
Västmanlands län,2007,249193
Dalarnas län,2007,275618
Gävleborgs län,2007,275556
Västernorrlands län,2007,243449
Jämtlands län,2007,126937
Västerbottens län,2007,257593
Norrbottens län,2007,250602
Stockholms län,2008,1981263
Uppsala län,2008,327188
Södermanlands län,2008,267524
Östergötlands län,2008,423169
Jönköpings län,2008,335246
Kronobergs län,2008,182224
Kalmar län,2008,233397
Gotlands län,2008,57004
Blekinge län,2008,152259
Skåne län,2008,1214758
Hallands län,2008,293572
Västra Götalands län,2008,1558130
Värmlands län,2008,273374
Örebro län,2008,277732
Västmanlands län,2008,249974
Dalarnas län,2008,275867
Gävleborgs län,2008,275908
Västernorrlands län,2008,243372
Jämtlands län,2008,126897
Västerbottens län,2008,257812
Norrbottens län,2008,249677
Stockholms län,2009,2019182
Uppsala län,2009,331898
Södermanlands län,2009,269053
Östergötlands län,2009,427106
Jönköpings län,2009,336044
Kronobergs län,2009,183162
Kalmar län,2009,233639
Gotlands län,2009,57221
Blekinge län,2009,152591
Skåne län,2009,1231062
Hallands län,2009,296825
Västra Götalands län,2009,1569458
Värmlands län,2009,273257
Örebro län,2009,278882
Västmanlands län,2009,251353
Dalarnas län,2009,276454
Gävleborgs län,2009,276220
Västernorrlands län,2009,243042
Jämtlands län,2009,126666
Västerbottens län,2009,258548
Norrbottens län,2009,249019
Stockholms län,2010,2054343
Uppsala län,2010,335882
Södermanlands län,2010,270738
Östergötlands län,2010,429642
Jönköpings län,2010,336866
Kronobergs län,2010,183940
Kalmar län,2010,233536
Gotlands län,2010,57269
Blekinge län,2010,153227
Skåne län,2010,1243329
Hallands län,2010,299484
Västra Götalands län,2010,1580297
Värmlands län,2010,273265
Örebro län,2010,280230
Västmanlands län,2010,252756
Dalarnas län,2010,277047
Gävleborgs län,2010,276508
Västernorrlands län,2010,242625
Jämtlands län,2010,126691
Västerbottens län,2010,259286
Norrbottens län,2010,248609
Stockholms län,2011,2091473
Uppsala län,2011,338630
Södermanlands län,2011,272563
Östergötlands län,2011,431075
Jönköpings län,2011,337896
Kronobergs län,2011,184654
Kalmar län,2011,233090
Gotlands län,2011,57308
Blekinge län,2011,152979
Skåne län,2011,1252933
Hallands län,2011,301724
Västra Götalands län,2011,1590604
Värmlands län,2011,272736
Örebro län,2011,281572
Västmanlands län,2011,254257
Dalarnas län,2011,276565
Gävleborgs län,2011,276130
Västernorrlands län,2011,242155
Jämtlands län,2011,126299
Västerbottens län,2011,259667
Norrbottens län,2011,248545
Stockholms län,2012,2127006
Uppsala län,2012,341977
Södermanlands län,2012,274723
Östergötlands län,2012,433784
Jönköpings län,2012,339116
Kronobergs län,2012,185887
Kalmar län,2012,233548
Gotlands län,2012,57241
Blekinge län,2012,152315
Skåne län,2012,1263088
Hallands län,2012,304116
Västra Götalands län,2012,1600447
Värmlands län,2012,273080
Örebro län,2012,283113
Västmanlands län,2012,256224
Dalarnas län,2012,276555
Gävleborgs län,2012,276637
Västernorrlands län,2012,241981
Jämtlands län,2012,126201
Västerbottens län,2012,260217
Norrbottens län,2012,248637
Stockholms län,2013,2163042
Uppsala län,2013,345481
Södermanlands län,2013,277569
Östergötlands län,2013,437848
Jönköpings län,2013,341235
Kronobergs län,2013,187156
Kalmar län,2013,233874
Gotlands län,2013,57161
Blekinge län,2013,152757
Skåne län,2013,1274069
Hallands län,2013,306840
Västra Götalands län,2013,1615084
Värmlands län,2013,273815
Örebro län,2013,285395
Västmanlands län,2013,259054
Dalarnas län,2013,277349
Gävleborgs län,2013,277970
Västernorrlands län,2013,242156
Jämtlands län,2013,126461
Västerbottens län,2013,261112
Norrbottens län,2013,249436
Stockholms län,2014,2198044
Uppsala län,2014,348942
Södermanlands län,2014,280666
Östergötlands län,2014,442105
Jönköpings län,2014,344262
Kronobergs län,2014,189128
Kalmar län,2014,235598
Gotlands län,2014,57255
Blekinge län,2014,154157
Skåne län,2014,1288908
Hallands län,2014,310665
Västra Götalands län,2014,1632012
Värmlands län,2014,274691
Örebro län,2014,288150
Västmanlands län,2014,261703
Dalarnas län,2014,278903
Gävleborgs län,2014,279991
Västernorrlands län,2014,243061
Jämtlands län,2014,126765
Västerbottens län,2014,262362
Norrbottens län,2014,249987
Stockholms län,2015,2231439
Uppsala län,2015,354164
Södermanlands län,2015,283712
Östergötlands län,2015,445661
Jönköpings län,2015,347837
Kronobergs län,2015,191369
